Brand Name,Model,Device Type,Supported Releases,_
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CL0192M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CH0768M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536DT0320M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CH0320M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT1536M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT0768M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT0640Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946RT0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT1280M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CH0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537DT0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CH0384M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946RT0640Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CL1536Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CL0160M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT1536Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CL0640Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531CH0192Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT0320M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CL0640M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536DT0640M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537CH0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CL0320M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940RT0768M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940RT0384M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530DT0768M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CH0640M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940RT0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537CH0640Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946RT0320M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940RT0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531DT0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CH0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531CH0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530DT0192M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CH1280Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530DT0384M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946RT0640M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537DT0640Y00","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56001P60T","NVMe","ESXi 9.1"," "
