Brand Name,Model,Type,Feature,Supported Releases
"Cisco","Cisco 12G Modular SAS Pass through Controller","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-RAID-M5","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-RAID-M6T","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-SAS-M6T Cisco 12G SAS HBA (16 Drives)","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-SAS-T-D Cisco 12G SAS HBA (16 Drives)","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-SAS-M5HD","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","Dell HBA350i MM LP","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA355i Front","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA345 Front","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","Dell HBA350i MM","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA345 Adapter","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","DELL HBA330 MX","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA330 Mini","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA350i MX","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","DELL HBA330 MMZ","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","HBA355i Adapter","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Dell","Dell HBA350i Adapter","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
